a,b,c,d
3759.HK, 0.13862, 0.2021, 1875724800
3778.HK, 0.10507, 0.044159997, 96054000
3788.HK, 0.38166, 0.1418, 939571008
3789.HK, 0.14119, 0.04265, 42136000
3798.HK, 0.49813998, 0.5062, 398012992
3799.HK, 0.22812, 0.18360001, 4223719936
3818.HK, 0.1683, 0.91924006, 66736000
3868.HK, 0.100710005, 0.55772996, 1164022016
3913.HK, 0.19092, 0.21294, 273548992
3933.HK, 0.13264, 0.12226, 1752870016
3939.HK, 0.09278, 0.0622, 85203000
3968.HK, 0.15640001, 0.44405997, 173396000768
3969.HK, 0.09859, 0.09389, 2876490752
3978.HK, 0.16048999, 0.07683, 450822016
3996.HK, 0.08071, 0.023239998, 5958718976
3997.HK, 0.09972, 0.24962, 6004000
3998.HK, 0.15748, 0.12648, 3133088000
4332.HK, 0.60785, 0.22547, 9555999744
4333.HK, 0.2692, 0.20919001, 14752000000
4335.HK, 0.22193001, 0.23906, 32362999808
4336.HK, 0.49073002, 0.24538, 5608999936
4338.HK, 0.47079, 0.36451998, 76740001792
6030.HK, 0.10168, 0.2888, 73155952640
6033.HK, 0.36501, 0.13015, 184596000
6038.HK, 0.11206, 0.100109994, 47095000
6049.HK, 0.12663999, 0.07975, 1072568000
6055.HK, 0.1035, 0.031689998, 206864208
6063.HK, 0.18461001, 0.098450005, 18525000
6068.HK, 0.19746, 0.29224002, 983667968
6069.HK, 0.11316, 0.5093, 50025000
6078.HK, 0.09092, 0.21475, 332334016
6093.HK, 0.20152001, 0.12503, 60933000
6098.HK, 0.19700001, 0.1668, 3472759040
6110.HK, 0.27361, 0.07693, 4705500160
6113.HK, 0.2588, 0.22867, 23949000
6118.HK, 0.3759, 0.14583, 39672000
6123.HK, 0.34997, 0.04997, 322945984
6127.HK, 0.104090005, 0.34686002, 428552640
6136.HK, 0.09684, 0.14118, 243726000
6161.HK, 0.3107, 0.26604998, 103148000
6162.HK, 0.20317, 0.13403, 66453000
6166.HK, 0.1415, 0.35292, 847617984
6169.HK, 0.26701, 0.41195, 1641494016
6185.HK, 0.15314001, 0.30864, 530745888
6198.HK, 0.12833999, 0.26490998, 3024398080
6288.HK, 0.14364, 0.06987, 458960011264
6601.HK, 1.76137, 0.13147001, 382728992
6626.HK, 0.39595002, 0.17048, 450271008
6666.HK, 0.45221, 0.25198, 5172973056
6677.HK, 0.28285, 0.14702, 583196032
6690.HK, 0.18335, 0.049060002, 26250125312
6699.HK, 0.3816, 0.18455, 408279008
6811.HK, 0.14072, 0.04778, 741736000
6812.HK, 0.42968, 0.13927001, 93820000
6820.HK, 0.33918, 0.23954001, 538080000
6822.HK, 0.20917, 0.08198, 88171000
6823.HK, 0.14497, 0.15871, 10508999680
6830.HK, 0.09779, 0.05366, 217462000
6833.HK, 1.01092, 0.07121, 307697984
6836.HK, 0.15611, 0.17554002, 148588000
6838.HK, 0.11575, 0.08092, 177776000
6868.HK, 0.21024999, 0.18461001, 448531008
6878.HK, 0.18778, 0.10566, 39427000
6881.HK, 0.0958, 0.27643, 21983551488
6885.HK, 0.15788001, 0.087299995, 1210320000
6886.HK, 0.085880004, 0.3431, 15240786944
6896.HK, 0.18663, 0.26917, 222310000
6919.HK, 0.16851999, 0.05434, 73899000
6939.HK, 0.16428, 0.18337, 72844000
6958.HK, 0.27241, 0.15867, 250848000
6966.HK, 0.108780004, 0.45103002, 8985000
6969.HK, 0.55435, 0.39763, 4360944128
6993.HK, 0.12179, 0.13928, 707129024
9600.HK, 0.16584, 0.18183, 11257000
9608.HK, 0.20959999, 0.14284, 7709000
9616.HK, 0.08221, 0.0675, 574822016
9618.HK, 0.30621, 0.06624, 42544316416
9633.HK, 0.42611998, 0.24242, 10510212096
9666.HK, 0.19908, 0.18659, 776017984
9888.HK, 0.22313999, 0.42679, 26119999488
9889.HK, 0.14109, 0.53994, 13186129920
9908.HK, 0.17184, 0.07264, 177980992
9909.HK, 0.16379, 0.15878999, 795107968
9911.HK, 0.26826, 0.03558, 397904992
9916.HK, 0.20218, 0.20406, 26071000
9918.HK, 0.13774, 0.01666, 77841000
9919.HK, 0.21789, 0.10135999, 26853000
9922.HK, 0.15406999, 0.10457, 751635008
9928.HK, 0.23251, 0.13590999, 67338000
9936.HK, 0.15901, 0.13346, 51607000
9968.HK, 0.23049, 0.091479994, 39058000
9982.HK, 0.54047, 0.56807, 687513984
9983.HK, 0.19038999, 0.1593, 560252032
9986.HK, 0.14859, 0.06961, 181692000
9987.HK, 0.20702, 0.10411, 1435000064
9988.HK, 0.14729999, 0.20993, 231786004480
9989.HK, 0.09272, 0.17554002, 675149376
9992.HK, 0.15566, 0.20828, 703358016
9997.HK, 0.12227, 0.59789, 374124992
9999.HK, 0.11956, 0.15045, 23880687616
